name,weight,height,base_experience,type_main,hp,attack,defense,special_attack,special_defense,speed,id,power_score,strong
maractus,280,10,161,grass,75,86,67,106,67,60,556,461,False
exeggcute,25,4,65,grass,60,40,80,60,45,40,102,325,False
capsakid,30,3,61,grass,50,62,40,62,40,50,951,304,False
whimsicott,66,7,168,grass,60,67,85,77,75,116,547,480,False
treecko,50,5,62,grass,40,45,35,65,55,70,252,310,False
ferrothorn,1100,10,171,grass,74,94,131,54,116,20,598,489,False
ferroseed,188,6,61,grass,44,50,91,24,86,10,597,305,False
turtwig,102,4,64,grass,55,68,64,45,55,31,387,318,False
nuzleaf,280,10,119,grass,70,70,40,60,40,60,274,340,False
bellsprout,40,7,60,grass,50,75,35,70,30,40,69,300,False
victreebel,155,17,221,grass,80,105,65,100,70,70,71,490,False
simisage,305,11,174,grass,75,98,63,98,63,101,512,498,False
fomantis,15,3,50,grass,40,55,35,50,35,35,753,250,False
latias,400,14,270,dragon,80,80,90,110,130,110,380,600,True
reshiram,3300,32,306,dragon,100,120,100,150,120,90,643,680,True
regidrago,2000,21,290,dragon,200,100,50,100,50,80,895,580,True
latios,600,20,270,dragon,80,90,80,130,110,110,381,600,True
dragapult,500,30,300,dragon,88,120,75,100,75,142,887,600,True
zekrom,3450,29,306,dragon,100,150,120,120,100,90,644,680,True
garchomp,950,19,270,dragon,108,130,95,80,85,102,445,600,True
roaring-moon,3800,20,295,dragon,105,139,71,55,101,119,1005,590,True
dragonite,2100,22,270,dragon,91,134,95,100,100,80,149,600,True
goodra,1505,20,270,dragon,90,100,70,110,150,80,706,600,True
salamence,1026,15,270,dragon,95,135,80,110,80,100,373,600,True
cyclizar,630,16,175,dragon,70,95,65,85,65,121,967,501,False
druddigon,1390,16,170,dragon,77,120,90,60,90,48,621,485,False
arctibax,300,8,148,dragon,90,95,66,45,65,62,997,423,False
hakamo-o,470,12,147,dragon,55,75,90,65,70,65,783,420,False
drakloak,110,14,144,dragon,68,80,50,60,50,102,886,410,False
tatsugiri-curly,80,3,166,dragon,68,50,60,120,95,82,978,475,False
bagon,421,6,60,dragon,45,75,60,40,30,50,371,300,False
jangmo-o,297,6,60,dragon,45,55,65,45,45,45,782,300,False
dratini,33,18,60,dragon,41,64,45,50,50,50,147,300,False
frigibax,170,5,64,dragon,65,75,45,35,45,55,996,320,False
goomy,28,3,60,dragon,45,50,35,55,75,40,704,300,False
fraxure,360,10,144,dragon,66,117,70,40,50,67,611,410,False
glaceon,259,8,184,ice,65,60,110,130,95,65,471,525,True
walrein,1506,14,239,ice,110,80,90,95,90,65,365,530,True
avalugg,5050,20,180,ice,95,117,184,44,46,28,713,514,True
articuno,554,17,261,ice,90,85,100,95,125,85,144,580,True
iron-bundle,110,6,285,ice,56,80,114,124,60,136,991,570,True
vanilluxe,575,13,241,ice,71,95,85,110,95,79,584,535,True
cryogonal,1480,11,180,ice,80,50,50,95,135,105,615,515,True
delibird,160,9,116,ice,45,55,45,65,45,75,225,330,False
eiscue-ice,890,14,165,ice,75,80,110,65,90,50,875,470,False
cetoddle,450,12,67,ice,108,68,45,30,40,43,974,334,False
spheal,395,8,58,ice,70,40,50,55,50,25,363,290,False
glalie,2565,15,168,ice,80,80,80,80,80,80,362,480,False
smoochum,60,4,61,ice,45,30,15,85,65,65,238,305,False
cubchoo,85,5,61,ice,55,70,40,60,40,40,613,305,False
snorunt,168,7,60,ice,50,50,50,50,50,50,361,300,False
froslass,266,13,168,ice,70,80,70,80,70,110,478,480,False
togekiss,380,15,245,fairy,85,50,95,120,115,80,468,545,True
tinkaton,1128,7,253,fairy,85,75,77,70,105,94,959,506,True
florges,100,11,248,fairy,78,65,68,112,154,75,671,552,True
xerneas,2150,30,306,fairy,126,131,95,131,98,99,716,680,True
sylveon,235,10,184,fairy,95,65,65,110,130,60,700,525,True
scream-tail,80,12,285,fairy,115,65,99,65,115,111,985,570,True
enamorus-incarnate,480,16,116,fairy,74,115,70,135,80,106,905,580,True
granbull,487,14,158,fairy,90,120,75,60,60,45,210,450,False
togepi,15,3,49,fairy,35,20,65,40,65,20,175,245,False
comfey,3,1,170,fairy,51,52,90,82,110,100,764,485,False
slurpuff,50,8,168,fairy,82,80,86,85,75,72,685,480,False
togetic,32,6,142,fairy,55,40,85,80,105,40,176,405,False
fidough,109,3,62,fairy,37,55,70,30,55,65,926,312,False
spritzee,5,2,68,fairy,78,52,60,63,65,23,682,341,False
milcery,3,2,54,fairy,45,40,40,50,61,34,868,270,False
clefairy,75,6,113,fairy,70,45,48,60,65,35,35,323,False
tinkatink,89,4,59,fairy,50,45,45,35,64,58,957,297,False
swirlix,35,4,68,fairy,62,48,66,59,57,49,684,341,False
clefable,400,13,217,fairy,95,70,73,95,90,60,36,483,False
cleffa,30,3,44,fairy,50,25,28,45,55,15,173,218,False
tyranitar,2020,20,270,rock,100,134,110,95,100,61,248,600,True
archeops,320,14,177,rock,75,140,65,112,65,110,567,567,True
terrakion,2600,19,261,rock,91,129,90,72,90,108,639,580,True
probopass,3400,14,184,rock,60,55,145,75,150,40,476,525,True
coalossal,3105,28,255,rock,110,80,120,80,90,30,839,510,True
iron-thorns,3030,16,285,rock,100,134,110,70,84,72,995,570,True
aurorus,2250,27,104,rock,123,77,72,99,92,58,699,521,True
regirock,2300,17,261,rock,80,100,200,50,100,50,377,580,True
solrock,1540,12,161,rock,90,95,85,55,65,70,338,460,False
rockruff,92,5,56,rock,45,65,40,30,40,60,744,280,False
nosepass,970,10,75,rock,30,45,135,45,90,30,299,375,False
pupitar,1520,12,144,rock,70,84,70,65,70,51,247,410,False
golem,3000,14,223,rock,80,120,130,55,65,45,76,495,False
nacli,160,4,56,rock,55,55,75,35,35,25,932,280,False
boldore,1020,9,137,rock,70,105,105,50,40,20,525,390,False
onix,2100,88,77,rock,35,45,160,30,45,70,95,385,False
lycanroc-midday,250,8,170,rock,75,115,65,55,65,112,745,487,False
lileep,238,10,71,rock,66,41,77,61,87,23,345,355,False
shieldon,570,5,70,rock,30,42,118,42,88,30,410,350,False
binacle,310,5,61,rock,42,52,67,39,56,50,688,306,False
minior-red-meteor,400,3,154,rock,60,60,100,60,100,60,774,440,False
kabutops,405,13,173,rock,60,115,105,65,70,80,141,495,False
anorith,125,7,71,rock,45,95,50,40,50,75,347,355,False
bonsly,150,5,58,rock,50,80,95,10,45,10,438,290,False
amaura,252,13,72,rock,77,59,50,67,63,46,698,362,False
stonjourner,5200,25,165,rock,100,125,135,20,20,70,874,470,False
carbink,57,3,100,rock,50,50,150,50,150,50,703,500,False
archen,95,5,71,rock,55,112,45,74,45,70,566,401,False
grimmsnarl,610,15,255,dark,95,120,65,95,75,60,861,510,True
zoroark,811,16,179,dark,60,105,60,120,60,105,571,510,True
hydreigon,1600,18,270,dark,92,105,90,125,90,98,635,600,True
yveltal,2030,58,306,dark,126,131,95,131,98,99,717,680,True
kingambit,1200,20,275,dark,100,135,120,60,85,50,983,550,True
chi-yu,49,4,285,dark,55,80,80,135,120,100,1004,570,True
weavile,340,11,179,dark,70,120,65,45,85,125,461,510,True
wo-chien,742,15,285,dark,85,85,100,95,135,70,1001,570,True
pawniard,102,5,68,dark,45,85,70,40,40,60,624,340,False
vullaby,90,5,74,dark,70,55,75,45,65,60,629,370,False
sneasel,280,9,86,dark,55,95,55,35,75,115,215,430,False
nickit,89,6,49,dark,40,28,28,47,52,50,827,245,False
mightyena,370,10,147,dark,70,90,70,60,60,70,262,420,False
bisharp,700,16,172,dark,65,125,100,60,70,70,625,490,False
liepard,375,11,156,dark,64,88,50,88,50,106,510,446,False
inkay,35,4,58,dark,53,54,53,37,46,45,686,288,False
purrloin,101,4,56,dark,41,50,37,50,37,66,509,281,False
scraggy,118,6,70,dark,50,75,70,35,70,48,559,348,False
houndoom,350,14,175,dark,75,90,50,110,80,95,229,500,False
murkrow,21,5,81,dark,60,85,42,85,42,91,198,405,False
zorua,125,7,66,dark,40,65,40,80,40,65,570,330,False
deino,173,8,60,dark,52,65,50,45,50,38,633,300,False
morgrem,125,8,130,dark,65,60,45,75,55,70,860,370,False
poochyena,136,5,56,dark,35,55,35,30,30,35,261,220,False
houndour,108,6,66,dark,45,60,30,80,50,65,228,330,False
eternatus,9500,200,345,poison,140,85,95,145,95,130,890,690,True
nidoking,620,14,227,poison,81,102,77,85,75,85,34,505,True
crobat,750,18,241,poison,85,90,80,70,80,130,169,535,True
nidoqueen,600,13,227,poison,90,92,87,75,85,76,31,505,True
skuntank,380,10,168,poison,103,93,67,71,61,84,435,479,False
ekans,69,20,58,poison,35,60,44,40,54,55,23,288,False
mareanie,80,4,61,poison,50,53,62,43,52,45,747,305,False
drapion,615,13,175,poison,70,90,110,60,75,95,452,500,False
salandit,48,6,64,poison,48,44,40,71,40,77,757,320,False
trubbish,310,6,66,poison,50,50,62,40,62,65,568,329,False
toxapex,145,7,173,poison,50,63,152,53,142,35,748,495,False
poipole,18,6,189,poison,67,73,67,73,67,73,803,420,False
swalot,800,17,163,poison,100,73,83,73,83,55,317,467,False
zubat,75,8,49,poison,40,45,35,30,40,55,41,245,False
arbok,650,35,157,poison,60,95,69,65,79,80,24,448,False
stunky,192,4,66,poison,63,63,47,41,41,74,434,329,False
gulpin,103,4,60,poison,70,43,53,43,53,40,316,302,False
grafaiai,272,7,170,poison,63,95,65,80,72,110,945,485,False
nidorina,200,8,128,poison,70,62,67,55,55,56,30,365,False
shuckle,205,6,177,bug,20,10,230,10,230,5,213,505,True
golisopod,1080,20,186,bug,75,125,140,60,90,40,768,530,True
volcarona,460,16,248,bug,85,60,65,135,105,100,637,550,True
yanmega,515,19,180,bug,86,76,86,116,56,95,469,515,True
burmy,34,2,45,bug,40,29,45,29,45,36,412,224,False
nymble,10,2,42,bug,33,46,40,21,25,45,919,210,False
spewpa,84,3,75,bug,45,22,60,27,30,29,665,213,False
combee,55,3,49,bug,30,30,42,30,42,70,415,244,False
mothim,233,9,148,bug,70,94,50,94,50,66,414,424,False
grubbin,44,4,60,bug,47,62,45,55,45,46,736,300,False
lokix,175,10,158,bug,71,102,78,52,55,92,920,450,False
escavalier,330,10,173,bug,70,135,105,60,105,20,589,495,False
leavanny,205,12,225,bug,75,103,80,70,80,92,542,500,False
silcoon,100,6,72,bug,50,35,55,25,25,15,266,205,False
scatterbug,25,3,40,bug,38,35,40,27,25,35,664,200,False
kricketune,255,10,134,bug,77,85,51,55,51,65,402,384,False
rabsca,35,3,165,bug,75,50,85,115,100,45,954,470,False
scyther,560,15,100,bug,70,110,80,55,80,105,123,500,False
paras,54,3,57,bug,35,70,55,45,55,25,46,285,False
parasect,295,10,142,bug,60,95,80,60,80,30,47,405,False
rellor,10,2,54,bug,41,50,60,31,58,30,953,270,False
cascoon,115,7,72,bug,50,35,55,25,25,15,268,205,False
yanma,380,12,78,bug,65,65,45,75,45,95,193,390,False
shelmet,77,4,61,bug,50,40,85,40,65,25,616,305,False
charjabug,105,5,140,bug,57,82,95,55,75,36,737,400,False
butterfree,320,11,178,bug,60,45,50,90,80,70,12,395,False
wurmple,36,3,56,bug,45,45,35,20,30,20,265,195,False
shedinja,12,8,83,bug,1,90,45,30,30,40,292,236,False
giratina-altered,7500,45,306,ghost,150,100,120,100,120,90,487,680,True
polteageist,4,2,178,ghost,60,65,65,134,114,70,855,508,True
flutter-mane,40,14,285,ghost,55,55,55,135,135,135,987,570,True
gastly,1,13,62,ghost,30,35,30,100,35,80,92,310,False
trevenant,710,15,166,ghost,85,110,76,65,82,56,709,474,False
gengar,405,15,225,ghost,60,65,60,130,75,110,94,500,False
banette,125,11,159,ghost,64,115,65,83,63,65,354,455,False
yamask,15,5,61,ghost,38,30,85,55,65,30,562,303,False
greavard,350,6,58,ghost,50,61,60,30,55,34,971,290,False
dusclops,306,16,159,ghost,40,70,130,60,130,25,356,455,False
misdreavus,10,7,87,ghost,60,60,60,85,85,85,200,435,False
cofagrigus,765,17,169,ghost,58,50,145,95,105,30,563,483,False
victini,40,4,270,psychic,100,100,100,100,100,100,494,600,True
gallade,520,16,233,psychic,68,125,65,65,115,80,475,518,True
gardevoir,484,16,233,psychic,68,65,65,125,115,80,282,518,True
tapu-lele,186,12,257,psychic,70,85,75,130,115,95,786,570,True
deoxys-normal,608,17,270,psychic,50,150,50,150,50,150,386,600,True
mew,40,4,270,psychic,100,100,100,100,100,100,151,600,True
lunala,1200,40,306,psychic,137,113,89,137,107,97,792,680,True
hoopa,90,5,270,psychic,80,110,60,150,130,70,720,600,True
cresselia,856,15,270,psychic,120,70,110,75,120,85,488,580,True
solgaleo,2300,34,306,psychic,137,137,107,113,89,97,791,680,True
mesprit,3,3,261,psychic,80,105,105,105,105,80,481,580,True
reuniclus,201,10,221,psychic,110,65,75,125,85,30,579,490,False
flittle,15,2,51,psychic,30,35,30,55,30,75,955,255,False
calyrex,77,11,250,psychic,100,80,80,80,80,80,898,500,False
solosis,10,3,58,psychic,45,30,40,105,50,20,577,290,False
grumpig,715,9,165,psychic,80,45,65,90,110,80,326,470,False
gothitelle,440,15,221,psychic,70,55,95,95,110,65,576,490,False
spoink,306,7,66,psychic,60,25,35,70,80,60,325,330,False
munna,233,6,58,psychic,76,25,45,67,55,24,517,292,False
gothita,58,4,58,psychic,45,30,50,55,65,45,574,290,False
wynaut,140,6,52,psychic,95,23,48,23,48,23,360,260,False
kirlia,202,8,97,psychic,38,35,35,65,55,50,281,278,False
drowzee,324,10,66,psychic,60,48,45,43,90,42,96,328,False
hattrem,48,6,130,psychic,57,40,65,86,73,49,857,370,False
hatenna,34,4,53,psychic,42,30,45,56,53,39,856,265,False
chimecho,10,6,159,psychic,75,50,80,95,90,65,358,455,False
unown,50,5,118,psychic,48,72,48,72,48,48,201,336,False
wobbuffet,285,13,142,psychic,190,33,58,33,58,33,202,405,False
iron-moth,360,12,285,fire,80,70,60,140,110,110,994,570,True
ceruledge,620,16,263,fire,75,125,80,60,100,85,937,525,True
pyroar,815,15,177,fire,86,68,72,109,66,106,668,507,True
flareon,250,9,184,fire,65,130,60,95,110,65,136,525,True
charizard,905,17,240,fire,78,84,78,109,85,100,6,534,True
magmortar,680,16,243,fire,75,95,67,125,95,83,467,540,True
emboar,1500,16,238,fire,110,123,65,100,65,65,500,528,True
delphox,390,15,240,fire,75,69,72,114,100,104,655,534,True
centiskorch,1200,30,184,fire,100,115,65,90,90,65,851,525,True
volcanion,1950,17,270,fire,80,110,120,130,90,70,721,600,True
heatran,4300,17,270,fire,91,90,106,130,106,77,485,600,True
infernape,550,12,240,fire,76,104,71,104,71,108,392,534,True
ho-oh,1990,38,306,fire,106,130,90,110,154,90,250,680,True
simisear,280,10,174,fire,75,98,63,98,63,101,514,498,False
cyndaquil,79,5,62,fire,39,52,43,60,50,65,155,309,False
quilava,190,9,142,fire,58,64,58,80,65,80,156,405,False
scorbunny,45,3,62,fire,50,71,40,40,40,69,813,310,False
ponyta,300,10,82,fire,50,85,55,65,65,90,77,410,False
fletchinder,160,7,134,fire,62,73,55,56,52,84,662,382,False
pansear,110,6,63,fire,50,53,48,53,48,64,513,316,False
numel,240,7,61,fire,60,60,40,65,45,35,322,305,False
talonflame,245,12,175,fire,78,81,71,74,69,126,663,499,False
pignite,555,10,146,fire,90,93,55,70,55,55,499,418,False
tepig,99,5,62,fire,65,63,45,45,45,45,498,308,False
oricorio-baile,34,6,167,fire,75,70,70,98,70,93,741,476,False
slugma,350,7,50,fire,40,40,40,70,40,20,218,250,False
magcargo,550,8,151,fire,60,50,120,90,80,30,219,430,False
litleo,135,6,74,fire,62,50,58,73,54,72,667,369,False
jolteon,245,8,184,electric,65,65,60,110,95,130,135,525,True
arctozolt,1500,23,177,electric,90,100,90,90,80,55,881,505,True
eelektross,805,21,232,electric,85,115,80,105,80,50,604,515,True
sandy-shocks,600,23,285,electric,85,81,97,121,85,101,989,570,True
dracozolt,1900,18,177,electric,90,100,90,80,70,75,880,505,True
zeraora,445,15,270,electric,88,112,75,102,80,143,807,600,True
raikou,1780,19,261,electric,90,85,75,115,100,115,243,580,True
blitzle,298,8,59,electric,45,60,32,50,32,76,522,295,False
mareep,78,6,56,electric,55,40,40,65,45,35,179,280,False
minun,42,4,142,electric,60,40,50,75,85,95,312,405,False
manectric,402,15,166,electric,70,75,60,105,60,105,310,475,False
rotom,3,3,154,electric,50,50,77,95,77,91,479,440,False
magneton,600,10,163,electric,50,60,95,120,70,70,82,465,False
tadbulb,4,3,54,electric,61,31,41,59,35,45,938,272,False
pawmot,410,9,245,electric,70,115,70,70,60,105,923,490,False
wattrel,36,4,56,electric,40,40,35,55,40,70,940,280,False
pawmo,65,4,123,electric,60,75,40,50,40,85,922,350,False
toxel,110,4,48,electric,40,38,35,54,35,40,848,242,False
dedenne,22,2,151,electric,67,58,57,81,67,101,702,431,False
electabuzz,300,11,172,electric,65,83,57,95,85,105,125,490,False
heliolisk,210,10,168,electric,62,55,52,109,94,109,695,481,False
zebstrika,795,16,174,electric,75,100,63,80,63,116,523,497,False
voltorb,104,5,66,electric,40,30,50,55,55,100,100,330,False
boltund,340,10,172,electric,69,90,60,90,60,121,836,490,False
toxtricity-amped,400,16,176,electric,75,98,70,114,70,75,849,502,False
kilowattrel,386,14,172,electric,70,70,60,105,60,125,941,490,False
electrike,152,6,59,electric,40,45,40,65,40,65,309,295,False
walking-wake,2800,35,295,water,99,83,91,125,83,109,1009,590,True
kyogre,3520,45,302,water,100,100,90,150,140,90,382,670,True
seismitoad,620,15,229,water,105,95,75,85,75,74,537,509,True
manaphy,14,3,270,water,100,100,100,100,100,100,490,600,True
inteleon,452,19,265,water,70,85,65,125,65,120,818,530,True
dracovish,2150,23,177,water,90,90,100,70,80,75,882,505,True
tentacruel,550,16,180,water,80,70,65,80,120,100,73,515,True
samurott,946,15,238,water,95,100,85,108,70,70,503,528,True
kingdra,1520,18,243,water,75,95,95,95,95,85,230,540,True
vaporeon,290,10,184,water,130,65,60,110,95,65,134,525,True
feraligatr,888,23,239,water,85,105,100,79,83,78,160,530,True
dondozo,2200,120,265,water,150,100,115,65,65,35,977,530,True
tapu-fini,212,13,257,water,70,75,115,95,130,85,788,570,True
slowpoke,360,12,63,water,90,65,65,40,40,15,79,315,False
carracosta,810,12,173,water,74,108,133,83,65,32,565,495,False
pyukumuku,12,3,144,water,55,60,130,30,130,5,771,410,False
pelipper,280,12,154,water,60,50,100,95,70,65,279,440,False
finizen,602,13,63,water,70,45,40,45,40,75,963,315,False
bruxish,190,9,166,water,68,105,70,70,70,92,779,475,False
gorebyss,226,18,170,water,55,84,105,114,75,52,368,485,False
luvdisc,87,6,116,water,43,30,55,40,65,97,370,330,False
psyduck,196,8,64,water,50,52,48,65,50,55,54,320,False
piplup,52,4,63,water,53,51,53,61,56,40,393,314,False
lombre,325,12,119,water,60,50,50,60,70,50,271,340,False
tentacool,455,9,67,water,40,40,35,50,100,70,72,335,False
krabby,65,4,65,water,30,105,90,25,25,50,98,325,False
golduck,766,17,175,water,80,82,78,95,80,85,55,500,False
iron-hands,3807,18,285,fighting,154,140,108,50,68,50,992,570,True
conkeldurr,870,14,227,fighting,105,140,95,55,65,45,534,505,True
urshifu-single-strike,1050,19,275,fighting,100,130,100,63,60,97,892,550,True
mienshao,355,14,179,fighting,65,125,60,95,60,105,620,510,True
falinks,620,30,165,fighting,65,100,100,70,60,75,870,470,False
hitmonchan,502,14,159,fighting,50,105,79,35,110,76,107,455,False
tyrogue,210,7,42,fighting,35,35,35,35,35,35,236,210,False
sawk,510,14,163,fighting,75,125,75,30,75,85,539,465,False
mankey,280,5,61,fighting,40,80,35,35,45,70,56,305,False
mienfoo,200,9,70,fighting,45,85,50,55,50,65,619,350,False
clobbopus,40,6,62,fighting,50,68,60,50,50,32,852,310,False
crabrawler,70,6,68,fighting,47,82,57,42,47,63,739,338,False
hariyama,2538,23,166,fighting,144,120,60,40,60,50,297,474,False
medicham,315,13,144,fighting,60,60,75,60,75,80,308,410,False
grapploct,390,16,168,fighting,80,118,90,70,80,42,853,480,False
machoke,705,15,142,fighting,80,100,70,50,60,45,67,405,False
tornadus-incarnate,630,15,261,flying,79,115,70,125,80,111,641,580,True
noivern,850,15,187,flying,85,70,80,97,80,123,715,535,True
bombirdier,429,15,243,flying,70,103,85,60,85,82,962,485,False
flamigo,370,16,175,flying,82,115,74,75,64,90,973,500,False
cramorant,180,8,166,flying,70,85,55,85,95,85,845,475,False
rookidee,18,2,49,flying,38,47,35,33,35,57,821,245,False
melmetal,8000,25,270,steel,135,143,143,80,65,34,809,600,True
steelix,4000,92,179,steel,75,85,200,55,65,30,208,510,True
duraludon,400,18,187,steel,70,95,115,120,50,85,884,535,True
dialga,6830,54,306,steel,100,120,120,150,100,90,483,680,True
celesteela,9999,92,257,steel,97,101,103,107,101,61,797,570,True
registeel,2050,19,261,steel,80,75,150,75,150,50,379,580,True
lairon,1200,9,151,steel,60,90,140,50,50,40,305,430,False
aron,600,4,66,steel,50,70,100,40,40,30,304,330,False
copperajah,6500,30,175,steel,122,130,69,80,69,30,879,500,False
honedge,20,8,65,steel,45,80,100,35,37,28,679,325,False
bronzong,1870,13,175,steel,67,89,116,79,116,33,437,500,False
orthworm,3100,25,240,steel,70,85,145,60,55,65,968,480,False
beldum,952,6,60,steel,40,55,80,35,60,30,374,300,False
varoom,350,10,60,steel,45,70,63,30,45,47,965,300,False
brionne,175,6,147,water,60,69,69,91,81,50,729,420,False
chinchou,120,5,66,water,75,38,38,56,56,67,170,330,False
scovillain,150,9,170,grass,65,108,65,108,65,75,952,486,False
hoppip,5,4,50,grass,35,35,40,35,55,50,187,250,False
qwilfish,39,5,88,water,65,95,85,55,55,85,211,440,False
kleavor,890,18,175,bug,70,135,95,45,70,85,900,500,False
gossifleur,22,4,50,grass,40,40,60,40,60,10,829,250,False
tranquill,150,6,125,normal,62,77,62,50,42,65,520,358,False
snivy,81,6,62,grass,45,45,55,45,55,63,495,308,False
poliwhirl,200,10,135,water,65,65,65,50,50,90,61,385,False
xatu,150,15,165,psychic,65,75,70,95,70,95,178,470,False
oinkologne-male,1200,10,171,normal,110,100,75,59,80,65,916,489,False
komala,199,4,168,normal,65,115,65,75,95,65,775,480,False
dewpider,40,3,54,water,38,40,52,40,72,27,751,269,False
fearow,380,12,155,normal,65,90,65,61,61,100,22,442,False
swanna,242,13,166,water,75,87,63,87,63,98,581,473,False
unfezant,290,12,220,normal,80,115,80,65,55,93,521,488,False
beautifly,284,10,178,bug,60,70,50,100,50,65,267,395,False
ivysaur,130,10,142,grass,60,62,63,80,80,60,2,405,False
igglybuff,10,3,42,normal,90,30,15,40,20,15,174,210,False
sawsbuck,925,19,166,normal,80,100,70,60,70,95,586,475,False
diggersby,424,10,148,normal,85,56,77,50,77,78,660,423,False
meowth,42,4,58,normal,40,45,35,40,40,90,52,290,False
rowlet,15,3,64,grass,68,55,55,50,50,42,722,320,False
gastrodon,299,9,166,water,111,83,68,92,82,39,423,475,False
tauros,884,14,172,normal,75,100,95,40,70,110,128,490,False
squirtle,90,5,63,water,44,48,65,50,64,43,7,314,False
marshtomp,280,7,142,water,70,85,70,60,70,50,259,405,False
girafarig,415,15,159,normal,70,80,65,90,65,85,203,455,False
floragato,122,9,144,grass,61,80,63,60,63,83,907,410,False
zangoose,403,13,160,normal,73,115,60,60,60,90,335,458,False
arrokuda,10,5,56,water,41,63,40,40,30,66,846,280,False
chewtle,85,3,57,water,50,64,50,38,38,44,833,284,False
