Credito,PI,SP,EI
CRED_0228,0.1043,0.3645,4108848
CRED_0229,0.2241,0.7904,3530826
CRED_0230,0.1615,0.4456,859178
CRED_0231,0.2008,0.7365,4827402
CRED_0232,0.1306,0.338,4720817
CRED_0233,0.1485,0.3279,2612605
CRED_0234,0.1282,0.2187,771037
CRED_0235,0.0569,0.591,3282244
CRED_0236,0.1834,0.4211,2849250
CRED_0237,0.0774,0.7186,1071469
CRED_0238,0.0158,0.4839,2431306
CRED_0239,0.1649,0.7809,2942371
CRED_0240,0.0525,0.3113,1862336
CRED_0241,0.2357,0.7212,4383848
CRED_0242,0.2389,0.666,513001
CRED_0243,0.2296,0.6626,3230246
CRED_0244,0.0988,0.7069,2201061
CRED_0245,0.0137,0.6566,4000511
CRED_0246,0.2328,0.5757,2872136
CRED_0247,0.1128,0.2787,565693
CRED_0248,0.242,0.2195,2686722
CRED_0249,0.2413,0.7525,289017
CRED_0250,0.2147,0.57,464994
CRED_0251,0.0807,0.6779,991768
CRED_0252,0.1024,0.4889,1890083
CRED_0253,0.2143,0.2704,1126941
CRED_0254,0.0861,0.2751,515982
CRED_0255,0.0507,0.6113,2588568
CRED_0256,0.1436,0.4582,323146
CRED_0257,0.2347,0.3203,1214795
CRED_0258,0.177,0.495,1439330
CRED_0259,0.1468,0.2385,2727747
CRED_0260,0.0333,0.5492,2459381
CRED_0261,0.1576,0.3614,4802820
CRED_0262,0.2476,0.6785,3620599
CRED_0263,0.0436,0.3862,2993295
CRED_0264,0.1344,0.4731,3333616
CRED_0265,0.2206,0.207,127175
CRED_0266,0.1878,0.2435,2735747
CRED_0267,0.1773,0.4355,2128808
CRED_0268,0.1786,0.488,1407453
CRED_0269,0.0963,0.56,3061786
CRED_0270,0.0805,0.375,145028
CRED_0271,0.2042,0.617,1608242
CRED_0272,0.2044,0.7161,4735754
CRED_0273,0.2181,0.6679,4369453
CRED_0274,0.2292,0.2238,4998008
CRED_0275,0.1327,0.4883,213834
CRED_0276,0.1304,0.263,2417555
CRED_0277,0.2016,0.3452,1279787
CRED_0278,0.166,0.792,3062359
CRED_0279,0.1785,0.2855,1375569
CRED_0280,0.201,0.4993,1466828
CRED_0281,0.2236,0.5709,2464165
CRED_0282,0.0911,0.6215,3258823
CRED_0283,0.1001,0.5358,3675654
CRED_0284,0.0326,0.2059,335711
CRED_0285,0.1488,0.3959,1173389
CRED_0286,0.0186,0.5106,625919
CRED_0287,0.1217,0.2527,3381106
CRED_0288,0.1402,0.4104,902746
CRED_0289,0.0788,0.2199,472381
CRED_0290,0.1518,0.2471,1026433
CRED_0291,0.0173,0.4382,4704548
CRED_0292,0.019,0.2796,2721252
CRED_0293,0.2074,0.5405,4950164
CRED_0294,0.0964,0.6137,1570943
CRED_0295,0.0405,0.6804,451067
CRED_0296,0.1353,0.3201,510796
CRED_0297,0.1948,0.3005,1054001
CRED_0298,0.0618,0.2627,362023
CRED_0299,0.1595,0.5819,3255599
CRED_0300,0.0305,0.6239,4736166
CRED_0301,0.0224,0.219,3227902
CRED_0302,0.1375,0.7617,805111
CRED_0303,0.1398,0.2312,2370715
CRED_0304,0.163,0.5248,2284805
CRED_0305,0.1843,0.6254,4354459
CRED_0306,0.2442,0.7226,1949054
CRED_0307,0.1339,0.6285,3507550
CRED_0308,0.0875,0.681,1600184
CRED_0309,0.2008,0.4037,4224482
CRED_0310,0.075,0.6889,3323523
CRED_0311,0.1154,0.2481,138668
CRED_0312,0.0288,0.7369,2884837
CRED_0313,0.0161,0.5286,3669348
CRED_0314,0.241,0.6904,1974914
CRED_0315,0.2106,0.4714,4060162
CRED_0316,0.177,0.5861,4797395
CRED_0317,0.1081,0.5158,2820742
CRED_0318,0.0516,0.639,2820374
CRED_0319,0.0475,0.249,3632299
CRED_0320,0.0701,0.2362,3095915
CRED_0321,0.1418,0.3483,320914
CRED_0322,0.1815,0.2957,4159803
CRED_0323,0.1684,0.7231,412455
CRED_0324,0.0772,0.3315,4524017
CRED_0325,0.2392,0.7855,1084586
CRED_0326,0.1871,0.4021,1796688
CRED_0327,0.143,0.3093,3150581
CRED_0328,0.1568,0.6738,2711637
CRED_0329,0.1107,0.5952,3722277
CRED_0330,0.0695,0.4989,2134504
CRED_0331,0.0954,0.5332,4207137
CRED_0332,0.1919,0.6315,2304736
CRED_0333,0.0135,0.3371,3071372
CRED_0334,0.0379,0.7978,2438229
CRED_0335,0.021,0.7849,3171881
CRED_0336,0.0198,0.5902,4904042
CRED_0337,0.2153,0.3197,2521378
CRED_0338,0.1789,0.6081,3880121
CRED_0339,0.1238,0.2433,3612944
CRED_0340,0.0335,0.2184,1403324
CRED_0341,0.128,0.3546,3422455
CRED_0342,0.1236,0.4776,4318173
CRED_0343,0.0516,0.721,919807
CRED_0344,0.1141,0.6363,4446720
CRED_0345,0.1056,0.6456,4120028
CRED_0346,0.1578,0.4553,2714496
CRED_0347,0.1624,0.4076,2922176
CRED_0348,0.0209,0.4226,1419277
CRED_0349,0.0999,0.7926,799971
CRED_0350,0.1602,0.2241,2643659
CRED_0351,0.1308,0.7202,4216233
CRED_0352,0.2156,0.5472,4510276
CRED_0353,0.1681,0.4632,4125837
CRED_0354,0.0491,0.6352,1392057
CRED_0355,0.0269,0.492,2283706
CRED_0356,0.1642,0.7241,535757
CRED_0357,0.0164,0.7404,2104376
CRED_0358,0.1506,0.453,2329176
CRED_0359,0.2357,0.3661,1235111
CRED_0360,0.1481,0.5554,2442919
CRED_0361,0.1032,0.7474,1550948
CRED_0362,0.1644,0.3264,4157834
CRED_0363,0.12,0.5738,2458630
CRED_0364,0.1409,0.5789,1644918
CRED_0365,0.236,0.6399,4718170
CRED_0366,0.1027,0.2789,2752994
CRED_0367,0.2407,0.6295,2754716
CRED_0368,0.2273,0.7454,4952444
CRED_0369,0.057,0.3078,242512
CRED_0370,0.0266,0.3425,3764379
CRED_0371,0.0342,0.7828,4435724
CRED_0372,0.0144,0.3086,4954948
CRED_0373,0.0327,0.7126,1599420
CRED_0374,0.1739,0.4954,2125915
CRED_0375,0.0271,0.3483,3398924
CRED_0376,0.0866,0.7224,3395647
CRED_0377,0.2128,0.4672,3950379
CRED_0378,0.0156,0.5089,3854409
CRED_0379,0.2055,0.4155,3014932
CRED_0380,0.0776,0.5558,697341
CRED_0381,0.0384,0.2981,1570982
CRED_0382,0.1772,0.4346,3379693
CRED_0383,0.1609,0.7816,4048422
CRED_0384,0.2206,0.3549,1251838
CRED_0385,0.1864,0.594,2214563
CRED_0386,0.2028,0.3951,4529825
CRED_0387,0.0777,0.6641,3635681
CRED_0388,0.0526,0.2785,4458285
CRED_0389,0.1901,0.7819,2434291
CRED_0390,0.2036,0.4723,2145588
CRED_0391,0.2477,0.3416,2705982
CRED_0392,0.109,0.2441,4254955
CRED_0393,0.0993,0.3019,3294967
CRED_0394,0.1963,0.5119,3035696
CRED_0395,0.0918,0.4022,487625
CRED_0396,0.2334,0.6973,3351106
CRED_0397,0.216,0.4585,1422070
CRED_0398,0.113,0.3492,2480721
CRED_0399,0.1902,0.5703,2643726
CRED_0400,0.1911,0.6241,4068280
CRED_0401,0.0347,0.3002,2592017
CRED_0402,0.2266,0.3006,4500252
CRED_0403,0.1313,0.222,1620057
CRED_0404,0.2083,0.6418,911069
CRED_0405,0.0868,0.5983,906626
CRED_0406,0.2249,0.4848,2211352
CRED_0407,0.1034,0.7065,156022
CRED_0408,0.0126,0.6834,2849131
CRED_0409,0.2273,0.5512,3257796
CRED_0410,0.0319,0.721,520529
CRED_0411,0.0866,0.3235,3033516
CRED_0412,0.238,0.2672,211445
CRED_0413,0.2381,0.3618,3884242
CRED_0414,0.1476,0.2343,3332831
CRED_0415,0.1616,0.5187,4468909
CRED_0416,0.1176,0.762,734029
CRED_0417,0.0804,0.2236,560370
CRED_0418,0.0889,0.2733,1802374
CRED_0419,0.1714,0.4713,4465276
CRED_0420,0.1906,0.7603,4049694
CRED_0421,0.2,0.3897,3358505
CRED_0422,0.1995,0.5043,258944
CRED_0423,0.0319,0.2249,2875494
CRED_0424,0.1287,0.289,1411303
CRED_0425,0.0238,0.792,4251765
CRED_0426,0.1419,0.7791,2944100
CRED_0427,0.116,0.203,4716805
CRED_0428,0.223,0.7711,1247162
CRED_0429,0.0942,0.5835,1096161
CRED_0430,0.0381,0.7208,4738482
CRED_0431,0.0443,0.4728,1829685
CRED_0432,0.1928,0.5094,1947501
CRED_0433,0.1584,0.4933,4804619
CRED_0434,0.0343,0.6001,723218
CRED_0435,0.0302,0.2838,3935250
CRED_0436,0.1782,0.218,653291
CRED_0437,0.0275,0.3848,4952059
CRED_0438,0.2072,0.6228,2711198
CRED_0439,0.1795,0.3211,2229431
CRED_0440,0.0295,0.6041,4259738
CRED_0441,0.0304,0.7819,769407
CRED_0442,0.2468,0.2563,2588143
CRED_0443,0.0998,0.6036,387913
CRED_0444,0.099,0.4663,3965770
CRED_0445,0.2051,0.7209,378821
CRED_0446,0.2373,0.3063,2230707
CRED_0447,0.2466,0.6156,1751243
CRED_0448,0.1908,0.7029,3937008
CRED_0449,0.1003,0.7668,1862375
CRED_0450,0.03,0.6099,3677447
CRED_0451,0.1965,0.4983,3665652
CRED_0452,0.144,0.5707,118803
CRED_0453,0.1118,0.7213,857744
CRED_0454,0.2275,0.5424,798736
CRED_0455,0.0367,0.2182,749539
CRED_0456,0.1282,0.7586,295404
CRED_0457,0.0127,0.6137,67297
CRED_0458,0.1225,0.6059,838443
CRED_0459,0.0235,0.3294,3705074
CRED_0460,0.0385,0.5953,3315962
CRED_0461,0.0382,0.4363,4812606
CRED_0462,0.1658,0.5907,3076394
CRED_0463,0.1891,0.264,1277146
CRED_0464,0.15,0.5947,2930304
CRED_0465,0.2409,0.7996,1383572
CRED_0466,0.1,0.2289,4755907
CRED_0467,0.0786,0.7863,665863
CRED_0468,0.2185,0.4441,4751669
CRED_0469,0.0637,0.7225,3815056
CRED_0470,0.2412,0.6694,3375315
CRED_0471,0.0129,0.5402,878791
CRED_0472,0.2428,0.6431,3870887
CRED_0473,0.0204,0.7271,2896274
CRED_0474,0.2239,0.4425,4889498
CRED_0475,0.1366,0.3962,4445564
CRED_0476,0.2483,0.6006,426794
CRED_0477,0.0277,0.6847,3928450
CRED_0478,0.1429,0.6574,3083349
CRED_0479,0.2426,0.6787,1571466
CRED_0480,0.1355,0.4613,2530252
CRED_0481,0.1611,0.6907,832877
CRED_0482,0.177,0.2721,4952825
CRED_0483,0.1191,0.5267,3935180
CRED_0484,0.1606,0.2035,3660793
CRED_0485,0.1502,0.3948,3349973
CRED_0486,0.2263,0.4199,3130977
CRED_0487,0.0209,0.4377,2349899
CRED_0488,0.0774,0.6173,2022424
CRED_0489,0.2381,0.4331,1386092
CRED_0490,0.2237,0.4692,900350
CRED_0491,0.1194,0.3425,3529027
CRED_0492,0.1588,0.424,3255228
CRED_0493,0.0766,0.3364,217647
CRED_0494,0.0551,0.2439,2383679
CRED_0495,0.1213,0.5621,485477
CRED_0496,0.0948,0.6009,1733523
CRED_0497,0.1501,0.5717,4246656
CRED_0498,0.0287,0.4781,4377308
CRED_0499,0.2439,0.4279,3010033
CRED_0500,0.2467,0.718,1631420
CRED_0501,0.1776,0.5114,836261
CRED_0502,0.1387,0.4875,3544708
CRED_0503,0.0843,0.2154,2878630
CRED_0504,0.2053,0.4047,4294402
CRED_0505,0.1743,0.4281,3129042
CRED_0506,0.049,0.4393,2812081
CRED_0507,0.2286,0.5481,176060
CRED_0508,0.2074,0.5202,4374848
CRED_0509,0.238,0.5647,2846461
CRED_0510,0.1842,0.6589,3127099
CRED_0511,0.1572,0.6878,2894180
CRED_0512,0.1104,0.6309,2671578
CRED_0513,0.2339,0.7733,4637878
CRED_0514,0.2179,0.2109,1722795
CRED_0515,0.0209,0.3175,4143886
CRED_0516,0.0163,0.2045,2304103
CRED_0517,0.1004,0.5885,2989362
CRED_0518,0.2045,0.7388,612060
CRED_0519,0.2469,0.3461,1556145
CRED_0520,0.0461,0.7562,2698202
CRED_0521,0.1526,0.2362,1242931
CRED_0522,0.1014,0.7607,4939084
CRED_0523,0.2428,0.411,921522
CRED_0524,0.2121,0.2609,1592247
CRED_0525,0.2112,0.4915,4422216
CRED_0526,0.1225,0.3541,2231906
CRED_0527,0.1096,0.3709,652276
CRED_0528,0.0756,0.3844,1550134
CRED_0529,0.0235,0.6818,2654884
CRED_0530,0.2175,0.5235,1755243
CRED_0531,0.2051,0.3868,4324692
CRED_0532,0.2499,0.5662,4072928
CRED_0533,0.2492,0.6297,289779
CRED_0534,0.1433,0.3636,3025605
CRED_0535,0.1946,0.4481,4938639
CRED_0536,0.2367,0.2731,838140
CRED_0537,0.2139,0.3087,3608539
CRED_0538,0.0694,0.6087,3796037
CRED_0539,0.1181,0.3089,2173238
CRED_0540,0.041,0.5151,4776276
CRED_0541,0.239,0.6254,4638727
CRED_0542,0.1555,0.2641,1668963
CRED_0543,0.0649,0.5404,640381
CRED_0544,0.1712,0.3539,2982235
CRED_0545,0.1584,0.7778,3733909
CRED_0546,0.096,0.4901,1589600
CRED_0547,0.0373,0.6836,2277503
CRED_0548,0.1712,0.5301,4282939
CRED_0549,0.1349,0.226,3120771
CRED_0550,0.1954,0.5799,1193647
CRED_0551,0.1348,0.7708,3661646
CRED_0552,0.2145,0.561,1466953
CRED_0553,0.1425,0.6915,2744245
CRED_0554,0.1446,0.7305,4172186
CRED_0555,0.2204,0.3368,471280
CRED_0556,0.1068,0.3272,959245
CRED_0557,0.0422,0.5666,391207
CRED_0558,0.0169,0.4466,1280746
CRED_0559,0.1912,0.7039,3339791
CRED_0560,0.1589,0.74,642632
CRED_0561,0.179,0.4121,4087106
CRED_0562,0.0611,0.3421,4805185
CRED_0563,0.0427,0.6683,4804896
CRED_0564,0.0135,0.3649,1522178
CRED_0565,0.0941,0.6936,1212189
CRED_0566,0.1516,0.4542,3920426
CRED_0567,0.1041,0.6005,464299
CRED_0568,0.115,0.2573,2431486
CRED_0569,0.227,0.5743,3726158
CRED_0570,0.0936,0.4711,4211900
CRED_0571,0.1334,0.552,175438
CRED_0572,0.1981,0.3008,3820183
CRED_0573,0.1052,0.6421,1967043
CRED_0574,0.1593,0.7177,2249391
CRED_0575,0.217,0.33,685719
CRED_0576,0.2379,0.2574,2851445
CRED_0577,0.0453,0.2142,858258
CRED_0578,0.2324,0.5852,4574474
CRED_0579,0.1281,0.5643,2914140
CRED_0580,0.072,0.528,3614462
CRED_0581,0.1202,0.3392,231948
CRED_0582,0.2452,0.4345,2632814
CRED_0583,0.1282,0.5567,3819457
CRED_0584,0.0889,0.4981,1256751
CRED_0585,0.162,0.7927,1003692
CRED_0586,0.0676,0.2819,267770
CRED_0587,0.0282,0.6171,4149906
CRED_0588,0.0409,0.4426,4886917
CRED_0589,0.0407,0.4569,2487245
CRED_0590,0.0465,0.6306,2752882
CRED_0591,0.0433,0.6155,1840008
CRED_0592,0.1638,0.7948,1876525
CRED_0593,0.0537,0.277,4563070
CRED_0594,0.093,0.2625,1388530
CRED_0595,0.2252,0.6346,4516951
CRED_0596,0.1238,0.547,2231913
CRED_0597,0.1702,0.3645,1528768
CRED_0598,0.0514,0.2477,1615213
CRED_0599,0.0561,0.2514,2813398
CRED_0600,0.0198,0.7365,738152
CRED_0601,0.0505,0.3151,452980
CRED_0602,0.0769,0.394,1088336
CRED_0603,0.0525,0.336,2928350
CRED_0604,0.0313,0.413,1218932
CRED_0605,0.039,0.2417,1499087
CRED_0606,0.1206,0.5114,2581528
CRED_0607,0.0595,0.2406,2158542
CRED_0608,0.0974,0.6802,987635
CRED_0609,0.1308,0.3402,3552626
CRED_0610,0.1757,0.524,1436689
CRED_0611,0.0194,0.728,3866126
CRED_0612,0.2019,0.5905,3116983
CRED_0613,0.1607,0.5198,2896230
CRED_0614,0.0296,0.3946,2168433
CRED_0615,0.2197,0.3998,4506397
CRED_0616,0.231,0.6017,3728621
CRED_0617,0.0247,0.7965,4606766
CRED_0618,0.0765,0.5971,1347991
CRED_0619,0.2035,0.5347,3781404
CRED_0620,0.1896,0.6384,1864188
CRED_0621,0.0543,0.4791,2157359
CRED_0622,0.0602,0.2361,268401
CRED_0623,0.0989,0.5374,1035132
CRED_0624,0.1263,0.7746,209292
CRED_0625,0.1584,0.3052,4741066
CRED_0626,0.0985,0.614,3217759
CRED_0627,0.121,0.3206,513937
CRED_0628,0.1894,0.5215,3014391
CRED_0629,0.0188,0.258,2731206
CRED_0630,0.0706,0.4702,1242097
CRED_0631,0.1812,0.6537,237771
CRED_0632,0.2248,0.4085,287199
CRED_0633,0.1328,0.5989,2907281
CRED_0634,0.1377,0.6773,2782481
CRED_0635,0.0357,0.7563,4884777
CRED_0636,0.1174,0.3408,2324316
CRED_0637,0.1378,0.4396,3652615
CRED_0638,0.0682,0.2914,1633214
CRED_0639,0.0746,0.7955,801518
CRED_0640,0.1005,0.7562,563313
CRED_0641,0.0148,0.524,3981586
CRED_0642,0.0873,0.7052,3264215
CRED_0643,0.0607,0.5126,3510989
CRED_0644,0.0886,0.5742,2382214
CRED_0645,0.0387,0.2535,2380229
CRED_0646,0.2237,0.6532,1913462
CRED_0647,0.1525,0.2766,704224
CRED_0648,0.173,0.6956,2300397
CRED_0649,0.1994,0.6692,2049284
CRED_0650,0.1296,0.6252,2051676
CRED_0651,0.0309,0.2217,1734532
CRED_0652,0.1389,0.3819,504418
CRED_0653,0.1508,0.3579,1522542
CRED_0654,0.1889,0.4161,4523014
CRED_0655,0.1136,0.2526,4906854
CRED_0656,0.0406,0.7622,612621
CRED_0657,0.0781,0.5323,3579801
CRED_0658,0.0971,0.3833,4858163
CRED_0659,0.165,0.4382,1648099
CRED_0660,0.147,0.4683,4244463
CRED_0661,0.0955,0.5604,3863233
CRED_0662,0.2468,0.5094,1261569
CRED_0663,0.1554,0.7516,4611307
CRED_0664,0.0669,0.4982,1245885
CRED_0665,0.0344,0.7953,1206083
CRED_0666,0.0467,0.7109,2024324
CRED_0667,0.069,0.3251,3948190
CRED_0668,0.0486,0.7584,3438445
CRED_0669,0.0548,0.2698,2792974
CRED_0670,0.0784,0.6905,3542099
CRED_0671,0.0516,0.4284,1329180
CRED_0672,0.2252,0.7268,3383178
CRED_0673,0.0293,0.7208,4581211
CRED_0674,0.1359,0.6836,2634182
CRED_0675,0.1085,0.674,1858286
CRED_0676,0.2458,0.3828,4649757
CRED_0677,0.0369,0.2486,4915313
