cc,desciel,dirvienc,dirvieng,dloc,ndia,prec,probprec,tmax,tmin,velvien,idmun,ides
55.53,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.4,9.3,6.6,192,20
68.9,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,20.6,6.6,7,216,20
88.88,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,23.9,6.8,7.6,216,20
91.36,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,27.8,9.3,6.3,216,20
83.56,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,21.6,8.9,5.7,216,20
59.2,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,22.2,8.3,4.3,228,20
84.4,Despejado    ,Oeste   ,270,2024/11/27,Miercoles      ,0,0,24.9,8.3,3.6,228,20
85.96,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,27.7,11.2,3.3,228,20
70.55,Despejado    ,Este    ,90,2024/11/29,Viernes        ,0,0,23.5,10.9,4.5,228,20
81.29,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,24.5,7.3,7.6,238,20
82.77,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,25.5,7,4.7,238,20
91.65,Despejado    ,Noroeste,315,2024/11/28,Jueves         ,0,0,27.2,9.8,4.6,238,20
63.73,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.8,9.7,6.9,238,20
85.57,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,24.1,7.4,7.5,241,20
82.98,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,25.3,7.2,4.4,241,20
93.19,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,26.8,10,4.6,241,20
70.45,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.6,9.6,6.5,241,20
58.41,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,22.8,8.3,4.1,249,20
85.07,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,25,8.2,4,249,20
86.55,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,27.8,11,2.3,249,20
74.96,Despejado    ,Este    ,90,2024/11/29,Viernes        ,0,0,23.8,11.3,4.2,249,20
78.96,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,18.9,4.8,9.7,250,20
86.18,Despejado    ,Oeste   ,270,2024/11/27,Miercoles      ,0,0,23,4.6,4.8,250,20
78.79,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,24.6,7.7,5.1,250,20
77.47,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,20.8,6.5,8.7,250,20
74.91,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,19.5,4.8,6.2,267,20
89.59,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0,0,23.7,5.4,3.2,267,20
93.97,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,25.9,7.7,3.1,267,20
79.02,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,20.9,6.6,6.2,267,20
81.2,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,24.3,7.3,7.7,268,20
82.14,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0,0,25.5,7,4.7,268,20
92.84,Despejado    ,Sur     ,180,2024/11/28,Jueves         ,0,0,27.2,9.8,4.7,268,20
66.28,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.8,9.8,6.9,268,20
82.71,Despejado    ,Este    ,90,2024/11/26,Martes         ,0,0,27.4,9.7,6.3,290,20
80.44,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,26.9,9.4,4.9,290,20
86.66,Despejado    ,Sureste ,135,2024/11/28,Jueves         ,0,0,28.1,11.6,4.6,290,20
63.66,Despejado    ,Sureste ,135,2024/11/29,Viernes        ,0,0,29,12.5,5,290,20
83.8,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,24.4,6.7,7.3,295,20
83.8,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,25,6.6,5,295,20
89.42,Despejado    ,Noroeste,315,2024/11/28,Jueves         ,0,0,26.7,9.4,5.2,295,20
56.96,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.5,9.1,6.6,295,20
62.73,Despejado    ,Noroeste,315,2024/11/26,Martes         ,0,0,20.2,6,7.4,299,20
84.57,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,24,6.4,5.3,299,20
93.63,Despejado    ,Noroeste,315,2024/11/28,Jueves         ,0,0,26.8,8.9,4.5,299,20
82.01,Despejado    ,Noroeste,315,2024/11/29,Viernes        ,0,0,21.5,8.3,7.1,299,20
83.49,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,24.6,7.2,7.8,301,20
83.23,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,25.4,6.9,4.9,301,20
87.99,Despejado    ,Noroeste,315,2024/11/28,Jueves         ,0,0,27.1,9.8,4.9,301,20
57.18,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.8,9.6,7.1,301,20
62.73,Despejado    ,Noroeste,315,2024/11/26,Martes         ,0,0,20,5.8,7,303,20
84.57,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,23.8,6.1,5.4,303,20
93.63,Despejado    ,Oeste   ,270,2024/11/28,Jueves         ,0,0,26.7,8.6,4.3,303,20
82.01,Despejado    ,Noroeste,315,2024/11/29,Viernes        ,0,0,21.2,8,6.6,303,20
59.2,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,22.3,8.2,4.2,322,20
84.4,Despejado    ,Oeste   ,270,2024/11/27,Miercoles      ,0,0,24.9,8.1,3.4,322,20
85.96,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,27.7,11.1,3.2,322,20
70.55,Despejado    ,Este    ,90,2024/11/29,Viernes        ,0,0,23.5,10.8,4.4,322,20
79.3,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,19.7,5.5,9,341,20
93.3,Despejado    ,Noreste ,45,2024/11/27,Miercoles      ,0,0,23.7,5.5,3.1,341,20
90.43,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,24.8,7.6,4.3,341,20
84,Despejado    ,Este    ,90,2024/11/29,Viernes        ,0,0,21.8,7.1,8.5,341,20
80.7,Despejado    ,Noroeste,315,2024/11/26,Martes         ,0,0,24.7,6.2,7.7,342,20
84.17,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,24.7,6.2,5.6,342,20
91.28,Despejado    ,Noroeste,315,2024/11/28,Jueves         ,0,0,26.6,9.1,6.1,342,20
54.79,Despejado    ,Noroeste,315,2024/11/29,Viernes        ,0,0,25.5,8.6,6.7,342,20
75.04,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,23.4,6,7.2,350,20
85.19,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,24.2,6,4,350,20
93.41,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,25.9,8.9,5.1,350,20
59.37,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,24.6,8.1,5.9,350,20
59.2,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,22.3,8.5,4.3,354,20
84.4,Despejado    ,Oeste   ,270,2024/11/27,Miercoles      ,0,0,24.9,8.4,3.7,354,20
85.96,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,27.7,11.4,3.2,354,20
70.55,Despejado    ,Este    ,90,2024/11/29,Viernes        ,0,0,23.5,11,4.4,354,20
80.96,Despejado    ,Noroeste,315,2024/11/26,Martes         ,0,0,24.7,6.6,7.3,369,20
84.29,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,25,6.5,5.2,369,20
90.35,Despejado    ,Noroeste,315,2024/11/28,Jueves         ,0,0,26.8,9.3,5.6,369,20
55.34,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.6,9,6.6,369,20
77.63,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,23.5,6,7.2,375,20
84.72,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,24.2,6,4,375,20
93.19,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,26,8.9,5.1,375,20
56.88,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,24.7,8.1,5.8,375,20
81.48,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,21,5.6,7.2,383,20
88.11,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,23.1,5.6,2.6,383,20
92.15,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,24.3,7.9,3.4,383,20
80.29,Despejado    ,Este    ,90,2024/11/29,Viernes        ,0,0,22.8,7.6,5.9,383,20
81.48,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,24.7,6.8,7.5,389,20
84.53,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,25.2,6.6,5.1,389,20
88.49,Despejado    ,Noroeste,315,2024/11/28,Jueves         ,0,0,26.9,9.5,5.4,389,20
56.44,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.7,9.3,6.9,389,20
78.01,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,24.5,7.3,7.6,393,20
85.95,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,25.4,7.1,4.7,393,20
89.74,Despejado    ,Noroeste,315,2024/11/28,Jueves         ,0,0,27.1,10,4.3,393,20
57.3,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.7,9.7,7,393,20
59.36,Despejado    ,Suroeste,225,2024/11/26,Martes         ,0,0,22.8,8.4,4.9,396,20
86.49,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,25.1,8.1,5.3,396,20
88.43,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,27.8,11,2.9,396,20
80.93,Despejado    ,Este    ,90,2024/11/29,Viernes        ,0,0,23.8,11.5,4.6,396,20
77.89,Despejado    ,Noroeste,315,2024/11/26,Martes         ,0,0,24.5,6.3,7.2,403,20
85.24,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,24.5,6.3,5.3,403,20
91.61,Despejado    ,Noroeste,315,2024/11/28,Jueves         ,0,0,26.4,9.1,5.7,403,20
56.01,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.4,8.7,6.4,403,20
75.04,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,23.3,6.1,7.1,409,20
85.19,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,24,6.1,4.2,409,20
93.41,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,25.8,9,5.4,409,20
59.37,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,24.5,8.2,6.1,409,20
72.27,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,23.7,6.4,7.2,411,20
86.32,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,23.9,6.3,5.3,411,20
93.01,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,25.7,9.1,6.3,411,20
60,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,24.9,8.6,6.6,411,20
60.28,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,22.1,7.6,4.7,434,20
83.57,Despejado    ,Oeste   ,270,2024/11/27,Miercoles      ,0,0,24.8,7.5,3,434,20
83.18,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,27.7,10.5,4.2,434,20
67.95,Despejado    ,Este    ,90,2024/11/29,Viernes        ,0,0,23.4,10.1,5,434,20
67.56,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,21,6,4.7,436,20
75.36,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,23.7,5.9,4.3,436,20
68.79,Despejado    ,Sureste ,135,2024/11/28,Jueves         ,0,0,26.5,9.3,3,436,20
69.59,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,22.4,8.2,4.7,436,20
69.64,Despejado    ,Oeste   ,270,2024/11/26,Martes         ,0,0,19.6,5.6,6.6,442,20
88.33,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,23.5,5.9,7,442,20
90.98,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,27.1,8.3,5.4,442,20
87.1,Despejado    ,Oeste   ,270,2024/11/29,Viernes        ,0,0,20.8,7.8,5.8,442,20
88.81,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,24.3,8,11.3,444,20
88.29,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0,0,24.3,7.8,7.9,444,20
87.43,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,25.3,11,8,444,20
80.28,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.5,10.5,8.1,444,20
75.91,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,18.8,4.8,8.7,493,20
86.36,Despejado    ,Oeste   ,270,2024/11/27,Miercoles      ,0,0,22.9,4.6,4.5,493,20
79.25,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,24.5,7.7,4.7,493,20
78.22,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,20.8,6.4,7.9,493,20
65.1,Despejado    ,Oeste   ,270,2024/11/26,Martes         ,0,0,19.8,5.8,6.8,503,20
86.02,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,23.7,6,6.7,503,20
92.77,Despejado    ,Oeste   ,270,2024/11/28,Jueves         ,0,0,27.1,8.5,5.2,503,20
83.4,Despejado    ,Oeste   ,270,2024/11/29,Viernes        ,0,0,21,8,6,503,20
87.5,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,23.9,8.3,10.4,510,20
87.98,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0,0,24,8.1,7.2,510,20
87.12,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,25.1,11,7.4,510,20
81.16,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25,10.5,7.4,510,20
77.29,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,22.8,8,8.2,538,20
86.23,Despejado    ,Sureste ,135,2024/11/27,Miercoles      ,0,0,24.9,7.9,3.3,538,20
95.24,Despejado    ,Este    ,90,2024/11/28,Jueves         ,0,0,26.4,11.1,5.3,538,20
70.21,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,24.7,9.7,7.6,538,20
82.19,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,22.2,5.1,8,539,20
86.9,Despejado    ,Noreste ,45,2024/11/27,Miercoles      ,0,0,24.3,5.2,2,539,20
92.68,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,25.9,8.3,3.7,539,20
58.59,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,23.8,7.2,6.7,539,20
81.12,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,24.2,7.3,7.8,542,20
81.5,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,25.5,7,4.7,542,20
94.02,Despejado    ,Sur     ,180,2024/11/28,Jueves         ,0,0,27.2,9.8,4.8,542,20
68.83,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.8,9.8,6.9,542,20
80.96,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,24.6,6.4,7.2,555,20
84.29,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,24.8,6.3,5.2,555,20
90.35,Despejado    ,Noroeste,315,2024/11/28,Jueves         ,0,0,26.6,9.2,5.6,555,20
55.34,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,25.5,8.8,6.4,555,20
76.86,Despejado    ,Este    ,90,2024/11/26,Martes         ,0,0,19.8,6.5,11.1,556,20
93.07,Despejado    ,Noreste ,45,2024/11/27,Miercoles      ,0,0,24.5,6.6,3.3,556,20
93.61,Despejado    ,Este    ,90,2024/11/28,Jueves         ,0,0,26,8.6,4.8,556,20
72.27,Despejado    ,Este    ,90,2024/11/29,Viernes        ,0,0,21.6,8,11.1,556,20
79.04,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,19.6,5,8.9,562,20
87.11,Despejado    ,Oeste   ,270,2024/11/27,Miercoles      ,0,0,23.1,4.9,4.3,562,20
83.01,Despejado    ,Sureste ,135,2024/11/28,Jueves         ,0,0,24.4,7.7,4.6,562,20
78.72,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,21.4,6.9,7.9,562,20
56.06,Despejado    ,Sur     ,180,2024/11/26,Martes         ,0,0,24.1,13.2,7.6,29,21
53.93,Despejado    ,Sur     ,180,2024/11/27,Miercoles      ,0,0,25.2,13.5,7.9,29,21
57.42,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,28,15.5,6.7,29,21
80.83,Cielo nublado,Noreste ,45,2024/11/29,Viernes        ,0.1,0,19.9,13.4,4.5,29,21
57.39,Despejado    ,Suroeste,225,2024/11/26,Martes         ,0,0,23.5,12.1,8.5,30,21
54.49,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,24.9,12.4,9.3,30,21
50.12,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,28,14.5,7.6,30,21
80.26,Cielo nublado,Noreste ,45,2024/11/29,Viernes        ,0.1,0,19.9,12.5,4.9,30,21
71.12,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,26.7,11.5,7.9,33,21
83.46,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0,0,26.1,11.5,7.5,33,21
89.65,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,27,12.4,7.6,33,21
59.7,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,27.6,13.3,7.8,33,21
78.77,Despejado    ,Noreste ,45,2024/11/26,Martes         ,0,0,23.5,8.1,9.3,38,21
81.7,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0,0,25.1,8.4,5.4,38,21
86.34,Despejado    ,Noreste ,45,2024/11/28,Jueves         ,0,0,26.1,10,6.6,38,21
60.72,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,23.9,9.7,9.3,38,21
68.54,Despejado    ,Noroeste,315,2024/11/26,Martes         ,0,0,21.9,6.9,8.3,60,21
85.38,Despejado    ,Noroeste,315,2024/11/27,Miercoles      ,0,0,23.2,8.2,6.4,60,21
78.88,Despejado    ,Noroeste,315,2024/11/28,Jueves         ,0,0,24.3,9.2,6.8,60,21
54.09,Despejado    ,Noroeste,315,2024/11/29,Viernes        ,0,0,22.1,8.6,7.2,60,21
55.94,Despejado    ,Sur     ,180,2024/11/26,Martes         ,0,0,23.4,12.1,8.4,80,21
54.49,Despejado    ,Sur     ,180,2024/11/27,Miercoles      ,0,0,24.8,12.7,9,80,21
57.29,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,28.2,14.6,7.4,80,21
80.93,Medio nublado,Noreste ,45,2024/11/29,Viernes        ,0.1,0,19.5,12.6,4.8,80,21
68.71,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,23.3,7.2,7.9,90,21
87.44,Despejado    ,Norte   ,0,2024/11/27,Miercoles      ,0,0,24.4,8.6,6.3,90,21
82.21,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,25.6,10.1,7.1,90,21
56.14,Despejado    ,Norte   ,0,2024/11/29,Viernes        ,0,0,23.3,9.2,7.4,90,21
64.33,Despejado    ,Suroeste,225,2024/11/26,Martes         ,0.1,0,22.2,10.5,8.5,91,21
53.87,Despejado    ,Suroeste,225,2024/11/27,Miercoles      ,0,0,24.7,10.9,10.2,91,21
51.43,Despejado    ,Suroeste,225,2024/11/28,Jueves         ,0,0,28.2,12.8,7.7,91,21
84.65,Medio nublado,Noreste ,45,2024/11/29,Viernes        ,0.1,0,19.4,10.5,5.4,91,21
60.23,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,20.9,5.8,9.4,117,21
87.23,Despejado    ,Oeste   ,270,2024/11/27,Miercoles      ,0,0,24,6.7,4.5,117,21
72.67,Despejado    ,Norte   ,0,2024/11/28,Jueves         ,0,0,25.2,8.3,6.5,117,21
59.02,Despejado    ,Noreste ,45,2024/11/29,Viernes        ,0,0,22,7.2,6.1,117,21
68.61,Despejado    ,Norte   ,0,2024/11/26,Martes         ,0,0,23,8.1,9,126,21
